ts,event_id,type,from,to,action,자원,크기
2016-01-05,E042,정기모임,정준람,오연주,모임,유대,0.5
2016-01-05,E042,정기모임,이현서,정준람,모임,유대,0.5
2016-01-05,E042,정기모임,정준람,이현서,모임,유대,0.5
2016-01-05,I0095,디방인연,김준하,안건채,이음,유대,0.12
2016-01-05,I0095,디방인연,안건채,김준하,이음,유대,0.12
2016-01-10,I0457,디방인연,서채하,윤람지,이음,유대,0.12
2016-01-10,I0457,디방인연,윤람지,서채하,이음,유대,0.12
2016-01-19,I0296,디방인연,권하람,홍우윤,이음,유대,0.12
2016-01-19,I0296,디방인연,홍우윤,권하람,이음,유대,0.12
2016-01-21,I0315,디방인연,안예람,김예아,이음,유대,0.12
2016-01-21,I0315,디방인연,김예아,안예람,이음,유대,0.12
2016-01-26,I0330,디방인연,최솔지,강은건,이음,유대,0.12
2016-01-26,I0330,디방인연,강은건,최솔지,이음,유대,0.12
2016-01-28,I0295,디방인연,권하람,서예채,이음,유대,0.12
2016-01-28,I0295,디방인연,서예채,권하람,이음,유대,0.12
2016-01-28,I0295,디방인연,권하람,서예채,대화,유대,0.15
2016-01-28,I0295,디방인연,서예채,권하람,대화,유대,0.15
2016-01-30,I0088,디방인연,최건예,이시도,이음,유대,0.12
2016-01-30,I0088,디방인연,이시도,최건예,이음,유대,0.12
2016-01-30,I0088,디방인연,최건예,이시도,대화,유대,0.15
2016-01-30,I0088,디방인연,이시도,최건예,대화,유대,0.15
2016-02-04,I0092,디방인연,김준하,조주수,이음,유대,0.12
2016-02-04,I0092,디방인연,조주수,김준하,이음,유대,0.12
2016-02-04,I0092,디방인연,김준하,조주수,대화,유대,0.15
2016-02-04,I0092,디방인연,조주수,김준하,대화,유대,0.15
2016-02-15,I0181,디방인연,정연우,권채솔,이음,유대,0.12
2016-02-15,I0181,디방인연,권채솔,정연우,이음,유대,0.12
2016-02-19,I0302,디방인연,홍준도,강도아,이음,유대,0.12
2016-02-19,I0302,디방인연,강도아,홍준도,이음,유대,0.12
2016-02-23,I0718,디방인연,윤준솔,임시서,이음,유대,0.12
2016-02-23,I0718,디방인연,임시서,윤준솔,이음,유대,0.12
2016-02-23,I0718,디방인연,윤준솔,임시서,대화,유대,0.15
2016-02-23,I0718,디방인연,임시서,윤준솔,대화,유대,0.15
2016-02-24,I0235,디방인연,안람도,홍아수,이음,유대,0.12
2016-02-24,I0235,디방인연,홍아수,안람도,이음,유대,0.12
2016-03-01,I0159,디방인연,김시윤,강연하,이음,유대,0.12
2016-03-01,I0159,디방인연,강연하,김시윤,이음,유대,0.12
2016-03-03,I0856,디방인연,안솔민,조연윤,이음,유대,0.12
2016-03-03,I0856,디방인연,조연윤,안솔민,이음,유대,0.12
2016-03-10,I0552,디방인연,김예준,강채수,이음,유대,0.12
2016-03-10,I0552,디방인연,강채수,김예준,이음,유대,0.12
2016-03-13,I0307,디방인연,서아채,임준시,이음,유대,0.12
2016-03-13,I0307,디방인연,임준시,서아채,이음,유대,0.12
2016-03-13,I0307,디방인연,서아채,임준시,선물,선물,2
2016-03-13,I0307,디방인연,서아채,임준시,선물,유대,0.4
2016-03-13,I0451,디방인연,김람연,송람민,이음,유대,0.12
2016-03-13,I0451,디방인연,송람민,김람연,이음,유대,0.12
2016-03-13,I0451,디방인연,김람연,송람민,대화,유대,0.15
2016-03-13,I0451,디방인연,송람민,김람연,대화,유대,0.15
2016-03-13,I0451,디방인연,김람연,송람민,선물,선물,2
2016-03-13,I0451,디방인연,김람연,송람민,선물,유대,0.4
2016-03-24,I0874,디방인연,신서채,전주현,이음,유대,0.12
2016-03-24,I0874,디방인연,전주현,신서채,이음,유대,0.12
2016-03-31,I0539,디방인연,정채건,서은아,이음,유대,0.12
2016-03-31,I0539,디방인연,서은아,정채건,이음,유대,0.12
2016-04-03,I0925,디방인연,신은예,안현도,이음,유대,0.12
2016-04-03,I0925,디방인연,안현도,신은예,이음,유대,0.12
2016-04-05,I0873,디방인연,신서채,김지준,이음,유대,0.12
2016-04-05,I0873,디방인연,김지준,신서채,이음,유대,0.12
2016-04-05,I0873,디방인연,신서채,김지준,대화,유대,0.15
2016-04-05,I0873,디방인연,김지준,신서채,대화,유대,0.15
2016-04-08,I0603,디방인연,송시현,강서민,이음,유대,0.12
2016-04-08,I0603,디방인연,강서민,송시현,이음,유대,0.12
2016-04-08,I0603,디방인연,송시현,강서민,대화,유대,0.15
2016-04-08,I0603,디방인연,강서민,송시현,대화,유대,0.15
2016-04-19,I0252,디방인연,강시도,서은아,이음,유대,0.12
2016-04-19,I0252,디방인연,서은아,강시도,이음,유대,0.12
2016-04-19,I0754,디방인연,황시시,강건도,이음,유대,0.12
2016-04-19,I0754,디방인연,강건도,황시시,이음,유대,0.12
2016-04-22,I0198,디방인연,윤시람,이은우,이음,유대,0.12
2016-04-22,I0198,디방인연,이은우,윤시람,이음,유대,0.12
2016-04-24,I0871,디방인연,신서채,이예은,이음,유대,0.12
2016-04-24,I0871,디방인연,이예은,신서채,이음,유대,0.12
2016-04-26,E030,집들이,오수예,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,오수예,대접,유대,0.5
2016-04-26,E030,집들이,임준시,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,임준시,대접,유대,0.5
2016-04-26,E030,집들이,홍솔우,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,홍솔우,대접,유대,0.5
2016-04-26,E030,집들이,황하예,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,황하예,대접,유대,0.5
2016-04-26,E030,집들이,철수,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,철수,대접,유대,0.5
2016-04-26,E030,집들이,이은우,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,이은우,대접,유대,0.5
2016-04-26,E030,집들이,황은하,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,황은하,대접,유대,0.5
2016-04-26,E030,집들이,조준윤,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,조준윤,대접,유대,0.5
2016-04-26,E030,집들이,윤시람,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,윤시람,대접,유대,0.5
2016-04-26,E030,집들이,윤연시,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,윤연시,대접,유대,0.5
2016-04-26,E030,집들이,이서솔,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,이서솔,대접,유대,0.5
2016-04-26,E030,집들이,송시건,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,송시건,대접,유대,0.5
2016-04-26,E030,집들이,전주시,권하람,선물,유대,1
2016-04-26,E030,집들이,권하람,전주시,대접,유대,0.5
2016-05-04,I0551,디방인연,김예준,권하람,이음,유대,0.12
2016-05-04,I0551,디방인연,권하람,김예준,이음,유대,0.12
2016-05-04,I0551,디방인연,김예준,권하람,대화,유대,0.15
2016-05-04,I0551,디방인연,권하람,김예준,대화,유대,0.15
2016-05-05,I0653,디방인연,서연채,서아지,이음,유대,0.12
2016-05-05,I0653,디방인연,서아지,서연채,이음,유대,0.12
2016-05-12,I0930,디방인연,전지준,이민윤,이음,유대,0.12
2016-05-12,I0930,디방인연,이민윤,전지준,이음,유대,0.12
2016-05-12,I0930,디방인연,전지준,이민윤,대화,유대,0.15
2016-05-12,I0930,디방인연,이민윤,전지준,대화,유대,0.15
2016-05-13,I0907,디방인연,강우건,서윤윤,이음,유대,0.12
2016-05-13,I0907,디방인연,서윤윤,강우건,이음,유대,0.12
2016-05-15,I0620,디방인연,최지도,오연주,이음,유대,0.12
2016-05-15,I0620,디방인연,오연주,최지도,이음,유대,0.12
2016-05-15,I0620,디방인연,최지도,오연주,선물,선물,2
2016-05-15,I0620,디방인연,최지도,오연주,선물,유대,0.4
2016-05-23,R0959,라운지재회,박건현,조채예,이음승급,유대,0.8
2016-05-23,R0959,라운지재회,조채예,박건현,이음승급,유대,0.8
2016-05-25,I0675,디방인연,정채람,홍현서,이음,유대,0.12
2016-05-25,I0675,디방인연,홍현서,정채람,이음,유대,0.12
2016-05-25,I0675,디방인연,정채람,홍현서,대화,유대,0.15
2016-05-25,I0675,디방인연,홍현서,정채람,대화,유대,0.15
2016-05-25,I0675,디방인연,정채람,홍현서,선물,선물,2
2016-05-25,I0675,디방인연,정채람,홍현서,선물,유대,0.4
2016-06-01,I0909,디방인연,강우건,송람수,이음,유대,0.12
2016-06-01,I0909,디방인연,송람수,강우건,이음,유대,0.12
2016-06-01,I0909,디방인연,강우건,송람수,대화,유대,0.15
2016-06-01,I0909,디방인연,송람수,강우건,대화,유대,0.15
2016-06-11,I0572,디방인연,김건주,안아도,이음,유대,0.12
2016-06-11,I0572,디방인연,안아도,김건주,이음,유대,0.12
2016-06-25,I0609,디방인연,송시현,황준건,이음,유대,0.12
2016-06-25,I0609,디방인연,황준건,송시현,이음,유대,0.12
2016-06-29,I0651,디방인연,서연채,김준하,이음,유대,0.12
2016-06-29,I0651,디방인연,김준하,서연채,이음,유대,0.12
2016-06-29,I0651,디방인연,서연채,김준하,대화,유대,0.15
2016-06-29,I0651,디방인연,김준하,서연채,대화,유대,0.15
2016-06-30,I0127,디방인연,이시람,송서수,이음,유대,0.12
2016-06-30,I0127,디방인연,송서수,이시람,이음,유대,0.12
2016-06-30,I0127,디방인연,이시람,송서수,대화,유대,0.15
2016-06-30,I0127,디방인연,송서수,이시람,대화,유대,0.15
2016-07-01,I0963,디방인연,박건현,전지시,이음,유대,0.12
2016-07-01,I0963,디방인연,전지시,박건현,이음,유대,0.12
2016-07-11,I0736,디방인연,강채현,박하채,이음,유대,0.12
2016-07-11,I0736,디방인연,박하채,강채현,이음,유대,0.12
2016-07-11,I0736,디방인연,강채현,박하채,대화,유대,0.15
2016-07-11,I0736,디방인연,박하채,강채현,대화,유대,0.15
2016-07-12,I0253,디방인연,강시도,박준예,이음,유대,0.12
2016-07-12,I0253,디방인연,박준예,강시도,이음,유대,0.12
2016-07-12,I0253,디방인연,강시도,박준예,대화,유대,0.15
2016-07-12,I0253,디방인연,박준예,강시도,대화,유대,0.15
2016-07-14,I0117,디방인연,박민수,전도연,이음,유대,0.12
2016-07-14,I0117,디방인연,전도연,박민수,이음,유대,0.12
2016-07-14,I0117,디방인연,박민수,전도연,대화,유대,0.15
2016-07-14,I0117,디방인연,전도연,박민수,대화,유대,0.15
2016-07-15,I0131,디방인연,이시람,김채아,이음,유대,0.12
2016-07-15,I0131,디방인연,김채아,이시람,이음,유대,0.12
2016-07-15,I0131,디방인연,이시람,김채아,대화,유대,0.15
2016-07-15,I0131,디방인연,김채아,이시람,대화,유대,0.15
2016-07-29,I0220,디방인연,강도아,권연지,이음,유대,0.12
2016-07-29,I0220,디방인연,권연지,강도아,이음,유대,0.12
2016-07-29,I0220,디방인연,강도아,권연지,대화,유대,0.15
2016-07-29,I0220,디방인연,권연지,강도아,대화,유대,0.15
2016-07-31,I0558,디방인연,김예준,서하도,이음,유대,0.12
2016-07-31,I0558,디방인연,서하도,김예준,이음,유대,0.12
2016-07-31,I0558,디방인연,김예준,서하도,대화,유대,0.15
2016-07-31,I0558,디방인연,서하도,김예준,대화,유대,0.15
2016-08-03,I0375,디방인연,송채도,윤연지,이음,유대,0.12
2016-08-03,I0375,디방인연,윤연지,송채도,이음,유대,0.12
2016-08-05,I0888,디방인연,박준예,신채도,이음,유대,0.12
2016-08-05,I0888,디방인연,신채도,박준예,이음,유대,0.12
2016-08-05,I0953,디방인연,최은서,강예민,이음,유대,0.12
2016-08-05,I0953,디방인연,강예민,최은서,이음,유대,0.12
2016-08-05,I0953,디방인연,최은서,강예민,선물,선물,2
2016-08-05,I0953,디방인연,최은서,강예민,선물,유대,0.4
2016-08-15,I0109,디방인연,정연시,조수연,이음,유대,0.12
2016-08-15,I0109,디방인연,조수연,정연시,이음,유대,0.12
2016-08-16,I0568,디방인연,김건주,서수주,이음,유대,0.12
2016-08-16,I0568,디방인연,서수주,김건주,이음,유대,0.12
2016-08-20,I0129,디방인연,이시람,정주도,이음,유대,0.12
2016-08-20,I0129,디방인연,정주도,이시람,이음,유대,0.12
2016-08-21,I0914,디방인연,윤연시,박채윤,이음,유대,0.12
2016-08-21,I0914,디방인연,박채윤,윤연시,이음,유대,0.12
2016-08-22,I0205,디방인연,안지수,임지윤,이음,유대,0.12
2016-08-22,I0205,디방인연,임지윤,안지수,이음,유대,0.12
2016-08-22,I0569,디방인연,김건주,홍은솔,이음,유대,0.12
2016-08-22,I0569,디방인연,홍은솔,김건주,이음,유대,0.12
2016-08-22,I0569,디방인연,김건주,홍은솔,대화,유대,0.15
2016-08-22,I0569,디방인연,홍은솔,김건주,대화,유대,0.15
2016-08-27,I0938,디방인연,신채도,황하솔,이음,유대,0.12
2016-08-27,I0938,디방인연,황하솔,신채도,이음,유대,0.12
2016-08-27,I0938,디방인연,신채도,황하솔,대화,유대,0.15
2016-08-27,I0938,디방인연,황하솔,신채도,대화,유대,0.15
2016-09-12,I0100,디방인연,김준하,최은서,이음,유대,0.12
2016-09-12,I0100,디방인연,최은서,김준하,이음,유대,0.12
2016-09-14,I0574,디방인연,김건주,황채주,이음,유대,0.12
2016-09-14,I0574,디방인연,황채주,김건주,이음,유대,0.12
2016-09-19,I0297,디방인연,권하람,황채람,이음,유대,0.12
2016-09-19,I0297,디방인연,황채람,권하람,이음,유대,0.12
2016-09-19,I0610,디방인연,송시현,장람아,이음,유대,0.12
2016-09-19,I0610,디방인연,장람아,송시현,이음,유대,0.12
2016-09-23,I0583,디방인연,권시솔,신하솔,이음,유대,0.12
2016-09-23,I0583,디방인연,신하솔,권시솔,이음,유대,0.12
2016-09-25,R0675,라운지재회,정채람,홍현서,이음승급,유대,0.8
2016-09-25,R0675,라운지재회,홍현서,정채람,이음승급,유대,0.8
2016-09-27,I0256,디방인연,조현현,강도아,이음,유대,0.12
2016-09-27,I0256,디방인연,강도아,조현현,이음,유대,0.12
2016-09-27,I0256,디방인연,조현현,강도아,대화,유대,0.15
2016-09-27,I0256,디방인연,강도아,조현현,대화,유대,0.15
2016-10-01,I0471,디방인연,서은건,김시지,이음,유대,0.12
2016-10-01,I0471,디방인연,김시지,서은건,이음,유대,0.12
2016-10-01,I0471,디방인연,서은건,김시지,대화,유대,0.15
2016-10-01,I0471,디방인연,김시지,서은건,대화,유대,0.15
2016-10-03,I0881,디방인연,박준예,임시서,이음,유대,0.12
2016-10-03,I0881,디방인연,임시서,박준예,이음,유대,0.12
2016-10-03,I0881,디방인연,박준예,임시서,대화,유대,0.15
2016-10-03,I0881,디방인연,임시서,박준예,대화,유대,0.15
2016-10-04,I0784,디방인연,김건솔,송현준,이음,유대,0.12
2016-10-04,I0784,디방인연,송현준,김건솔,이음,유대,0.12
2016-10-04,I0784,디방인연,김건솔,송현준,대화,유대,0.15
2016-10-04,I0784,디방인연,송현준,김건솔,대화,유대,0.15
2016-10-07,I0699,디방인연,이람연,서주도,이음,유대,0.12
2016-10-07,I0699,디방인연,서주도,이람연,이음,유대,0.12
2016-10-21,I0311,디방인연,안예람,김시윤,이음,유대,0.12
2016-10-21,I0311,디방인연,김시윤,안예람,이음,유대,0.12
2016-10-21,I0311,디방인연,안예람,김시윤,대화,유대,0.15
2016-10-21,I0311,디방인연,김시윤,안예람,대화,유대,0.15
2016-10-26,I0199,디방인연,윤시람,최아도,이음,유대,0.12
2016-10-26,I0199,디방인연,최아도,윤시람,이음,유대,0.12
2016-10-26,I0199,디방인연,윤시람,최아도,대화,유대,0.15
2016-10-26,I0199,디방인연,최아도,윤시람,대화,유대,0.15
2016-11-04,I0532,디방인연,오수예,이시도,이음,유대,0.12
2016-11-04,I0532,디방인연,이시도,오수예,이음,유대,0.12
2016-11-04,I0532,디방인연,오수예,이시도,대화,유대,0.15
2016-11-04,I0532,디방인연,이시도,오수예,대화,유대,0.15
2016-11-06,I0132,디방인연,장하연,홍민연,이음,유대,0.12
2016-11-06,I0132,디방인연,홍민연,장하연,이음,유대,0.12
2016-11-09,I0536,디방인연,정채건,김서시,이음,유대,0.12
2016-11-09,I0536,디방인연,김서시,정채건,이음,유대,0.12
2016-11-14,I0288,디방인연,서예채,홍은솔,이음,유대,0.12
2016-11-14,I0288,디방인연,홍은솔,서예채,이음,유대,0.12
2016-11-14,I0288,디방인연,서예채,홍은솔,대화,유대,0.15
2016-11-14,I0288,디방인연,홍은솔,서예채,대화,유대,0.15
2016-11-17,I0423,디방인연,서아지,김서시,이음,유대,0.12
2016-11-17,I0423,디방인연,김서시,서아지,이음,유대,0.12
2016-11-17,I0423,디방인연,서아지,김서시,대화,유대,0.15
2016-11-17,I0423,디방인연,김서시,서아지,대화,유대,0.15
2016-11-18,I0576,디방인연,김건주,안연예,이음,유대,0.12
2016-11-18,I0576,디방인연,안연예,김건주,이음,유대,0.12
2016-11-18,I0576,디방인연,김건주,안연예,대화,유대,0.15
2016-11-18,I0576,디방인연,안연예,김건주,대화,유대,0.15
2016-11-19,I0813,디방인연,조채예,최솔지,이음,유대,0.12
2016-11-19,I0813,디방인연,최솔지,조채예,이음,유대,0.12
2016-11-22,I0190,디방인연,정연우,권주주,이음,유대,0.12
2016-11-22,I0190,디방인연,권주주,정연우,이음,유대,0.12
2016-11-22,I0190,디방인연,정연우,권주주,대화,유대,0.15
2016-11-22,I0190,디방인연,권주주,정연우,대화,유대,0.15
2016-11-27,I0283,디방인연,이서솔,임준시,이음,유대,0.12
2016-11-27,I0283,디방인연,임준시,이서솔,이음,유대,0.12
2016-11-30,I0680,디방인연,임도우,권시솔,이음,유대,0.12
2016-11-30,I0680,디방인연,권시솔,임도우,이음,유대,0.12
2016-12-04,I0728,디방인연,홍은준,정은주,이음,유대,0.12
2016-12-04,I0728,디방인연,정은주,홍은준,이음,유대,0.12
2016-12-06,I0225,디방인연,서채아,장솔아,이음,유대,0.12
2016-12-06,I0225,디방인연,장솔아,서채아,이음,유대,0.12
2016-12-16,I0890,디방인연,황준건,강채수,이음,유대,0.12
2016-12-16,I0890,디방인연,강채수,황준건,이음,유대,0.12
2016-12-16,I0890,디방인연,황준건,강채수,대화,유대,0.15
2016-12-16,I0890,디방인연,강채수,황준건,대화,유대,0.15
2016-12-18,R0784,라운지재회,김건솔,송현준,이음승급,유대,0.8
2016-12-18,R0784,라운지재회,송현준,김건솔,이음승급,유대,0.8
2016-12-20,I0500,디방인연,이시도,조채예,이음,유대,0.12
2016-12-20,I0500,디방인연,조채예,이시도,이음,유대,0.12
2016-12-21,I0622,디방인연,송현준,김건솔,이음,유대,0.12
2016-12-21,I0622,디방인연,김건솔,송현준,이음,유대,0.12
2016-12-22,I0373,디방인연,한수현,오민채,이음,유대,0.12
2016-12-22,I0373,디방인연,오민채,한수현,이음,유대,0.12
2016-12-22,I0373,디방인연,한수현,오민채,대화,유대,0.15
2016-12-22,I0373,디방인연,오민채,한수현,대화,유대,0.15
2016-12-25,I0686,디방인연,장솔아,임아우,이음,유대,0.12
2016-12-25,I0686,디방인연,임아우,장솔아,이음,유대,0.12
2016-12-27,I0274,디방인연,김연시,송채도,이음,유대,0.12
2016-12-27,I0274,디방인연,송채도,김연시,이음,유대,0.12
2016-12-30,I0959,디방인연,박건현,조채예,이음,유대,0.12
2016-12-30,I0959,디방인연,조채예,박건현,이음,유대,0.12
2016-12-30,I0959,디방인연,박건현,조채예,대화,유대,0.15
2016-12-30,I0959,디방인연,조채예,박건현,대화,유대,0.15
2017-01-06,I0359,디방인연,송하은,정연현,이음,유대,0.12
2017-01-06,I0359,디방인연,정연현,송하은,이음,유대,0.12
2017-01-08,I0857,디방인연,안솔민,권주주,이음,유대,0.12
2017-01-08,I0857,디방인연,권주주,안솔민,이음,유대,0.12
2017-01-08,R0871,라운지재회,신서채,이예은,이음승급,유대,0.8
2017-01-08,R0871,라운지재회,이예은,신서채,이음승급,유대,0.8
2017-01-16,I0368,디방인연,한수현,서주도,이음,유대,0.12
2017-01-16,I0368,디방인연,서주도,한수현,이음,유대,0.12
2017-01-16,I0368,디방인연,한수현,서주도,대화,유대,0.15
2017-01-16,I0368,디방인연,서주도,한수현,대화,유대,0.15
2017-01-19,I0231,디방인연,서채아,권우아,이음,유대,0.12
2017-01-19,I0231,디방인연,권우아,서채아,이음,유대,0.12
2017-01-26,I0949,디방인연,강채수,장건채,이음,유대,0.12
2017-01-26,I0949,디방인연,장건채,강채수,이음,유대,0.12
2017-01-30,I0468,디방인연,서은건,한수아,이음,유대,0.12
2017-01-30,I0468,디방인연,한수아,서은건,이음,유대,0.12
2017-01-30,I0468,디방인연,서은건,한수아,대화,유대,0.15
2017-01-30,I0468,디방인연,한수아,서은건,대화,유대,0.15
2017-01-31,I0624,디방인연,송현준,권아수,이음,유대,0.12
2017-01-31,I0624,디방인연,권아수,송현준,이음,유대,0.12
2017-02-03,I0750,디방인연,윤수도,오예은,이음,유대,0.12
2017-02-03,I0750,디방인연,오예은,윤수도,이음,유대,0.12
2017-02-04,R0609,라운지재회,송시현,황준건,이음승급,유대,0.8
2017-02-04,R0609,라운지재회,황준건,송시현,이음승급,유대,0.8
2017-02-05,I0044,디방인연,철수,임도우,이음,유대,0.12
2017-02-05,I0044,디방인연,임도우,철수,이음,유대,0.12
2017-02-07,I0487,디방인연,권수솔,이윤람,이음,유대,0.12
2017-02-07,I0487,디방인연,이윤람,권수솔,이음,유대,0.12
2017-02-10,I0008,디방인연,철수,서윤윤,이음,유대,0.12
2017-02-10,I0008,디방인연,서윤윤,철수,이음,유대,0.12
2017-02-10,I0008,디방인연,철수,서윤윤,대화,유대,0.15
2017-02-10,I0008,디방인연,서윤윤,철수,대화,유대,0.15
2017-02-10,I0626,디방인연,송현준,정연우,이음,유대,0.12
2017-02-10,I0626,디방인연,정연우,송현준,이음,유대,0.12
2017-02-10,I0838,디방인연,윤연지,홍우윤,이음,유대,0.12
2017-02-10,I0838,디방인연,홍우윤,윤연지,이음,유대,0.12
2017-02-15,I0028,디방인연,철수,신서채,이음,유대,0.12
2017-02-15,I0028,디방인연,신서채,철수,이음,유대,0.12
2017-02-15,I0028,디방인연,철수,신서채,대화,유대,0.15
2017-02-15,I0028,디방인연,신서채,철수,대화,유대,0.15
2017-02-16,I0839,디방인연,윤연지,최도채,이음,유대,0.12
2017-02-16,I0839,디방인연,최도채,윤연지,이음,유대,0.12
2017-02-17,I0273,디방인연,김연시,서우솔,이음,유대,0.12
2017-02-17,I0273,디방인연,서우솔,김연시,이음,유대,0.12
2017-02-17,I0273,디방인연,김연시,서우솔,대화,유대,0.15
2017-02-17,I0273,디방인연,서우솔,김연시,대화,유대,0.15
2017-02-17,I0273,디방인연,김연시,서우솔,선물,선물,2
2017-02-17,I0273,디방인연,김연시,서우솔,선물,유대,0.4
2017-02-19,I0561,디방인연,김예준,강하우,이음,유대,0.12
2017-02-19,I0561,디방인연,강하우,김예준,이음,유대,0.12
2017-02-20,I0864,디방인연,안솔민,정우채,이음,유대,0.12
2017-02-20,I0864,디방인연,정우채,안솔민,이음,유대,0.12
2017-02-20,I0864,디방인연,안솔민,정우채,대화,유대,0.15
2017-02-20,I0864,디방인연,정우채,안솔민,대화,유대,0.15
2017-02-21,I0438,디방인연,한건현,송은도,이음,유대,0.12
2017-02-21,I0438,디방인연,송은도,한건현,이음,유대,0.12
2017-02-26,I0395,디방인연,윤지람,강우서,이음,유대,0.12
2017-02-26,I0395,디방인연,강우서,윤지람,이음,유대,0.12
2017-02-27,I0860,디방인연,안솔민,강우연,이음,유대,0.12
2017-02-27,I0860,디방인연,강우연,안솔민,이음,유대,0.12
2017-02-28,I0849,디방인연,윤연지,박준예,이음,유대,0.12
2017-02-28,I0849,디방인연,박준예,윤연지,이음,유대,0.12
2017-03-05,I0334,디방인연,최솔지,장은수,이음,유대,0.12
2017-03-05,I0334,디방인연,장은수,최솔지,이음,유대,0.12
2017-03-05,I0720,디방인연,이민지,강준지,이음,유대,0.12
2017-03-05,I0720,디방인연,강준지,이민지,이음,유대,0.12
2017-03-06,I0528,디방인연,정연현,신서시,이음,유대,0.12
2017-03-06,I0528,디방인연,신서시,정연현,이음,유대,0.12
2017-03-08,I0341,디방인연,한윤아,윤솔예,이음,유대,0.12
2017-03-08,I0341,디방인연,윤솔예,한윤아,이음,유대,0.12
2017-03-11,I0428,디방인연,전주현,박건현,이음,유대,0.12
2017-03-11,I0428,디방인연,박건현,전주현,이음,유대,0.12
2017-03-13,I0219,디방인연,강도아,서우솔,이음,유대,0.12
2017-03-13,I0219,디방인연,서우솔,강도아,이음,유대,0.12
2017-03-13,I0219,디방인연,강도아,서우솔,대화,유대,0.15
2017-03-13,I0219,디방인연,서우솔,강도아,대화,유대,0.15
2017-03-15,R0925,라운지재회,신은예,안현도,이음승급,유대,0.8
2017-03-15,R0925,라운지재회,안현도,신은예,이음승급,유대,0.8
2017-03-17,E016,장례식,이민지,강연하,부조,돈,6
2017-03-17,E016,장례식,이민지,강연하,방명록,유대,1
2017-03-17,E016,장례식,강연하,이민지,답례,유대,0.5
2017-03-17,E016,장례식,최도채,강연하,부조,돈,7
2017-03-17,E016,장례식,최도채,강연하,방명록,유대,1
2017-03-17,E016,장례식,강연하,최도채,답례,유대,0.5
